USD/ZAR,,,,,単純移動平均,,
日付,始値,高値,安値,終値,期間A[5],期間C[25],
2020/10/16 00:00,16.6785,16.6891,16.6560,16.6600,16.6430,16.5281,
2020/10/15 20:00,16.6945,16.7125,16.6436,16.6776,16.6134,16.5197,
2020/10/15 16:00,16.6191,16.7147,16.5827,16.6947,16.5838,16.5095,
2020/10/15 12:00,16.5654,16.6320,16.5412,16.6180,16.5423,16.5009,
2020/10/15 08:00,16.5145,16.5711,16.5115,16.5649,16.5267,16.4974,
2020/10/15 04:00,16.5309,16.5394,16.4811,16.5118,16.5140,16.4958,
2020/10/15 00:00,16.4879,16.5536,16.4677,16.5298,16.5015,16.4976,
2020/10/14 20:00,16.5376,16.5476,16.4511,16.4868,16.4873,16.5001,
2020/10/14 16:00,16.5008,16.5791,16.4799,16.5400,16.4871,16.5040,
2020/10/14 12:00,16.4481,16.5203,16.4457,16.5015,16.4818,16.5060,
2020/10/14 08:00,16.4614,16.4677,16.4362,16.4496,16.4744,16.5082,
2020/10/14 04:00,16.4846,16.4864,16.4481,16.4587,16.4935,16.5155,
2020/10/14 00:00,16.5150,16.5471,16.4392,16.4857,16.5147,16.5218,
2020/10/13 20:00,16.4621,16.5560,16.4282,16.5135,16.5177,16.5276,
2020/10/13 16:00,16.5440,16.5696,16.4557,16.4644,16.5181,16.5331,
2020/10/13 12:00,16.5641,16.5680,16.5050,16.5454,16.5191,16.5410,
2020/10/13 08:00,16.4990,16.5769,16.4959,16.5644,16.5166,16.5441,
2020/10/13 04:00,16.5155,16.5155,16.4760,16.5009,16.5010,16.5479,
2020/10/13 00:00,16.4691,16.5178,16.4601,16.5155,16.4980,16.5563,
2020/10/12 20:00,16.5328,16.5533,16.4685,16.4692,16.4924,16.5629,
2020/10/12 16:00,16.4871,16.5751,16.4566,16.5328,16.4901,16.5641,
2020/10/12 12:00,16.4857,16.5014,16.4434,16.4868,16.4733,16.5655,
2020/10/12 08:00,16.4853,16.5124,16.4772,16.4857,16.4607,16.5697,
2020/10/12 04:00,16.4750,16.5026,16.4738,16.4873,16.4594,16.5713,
2020/10/10 04:00,16.4474,16.4698,16.4283,16.4580,16.4679,16.5731,
2020/10/10 00:00,16.4237,16.4748,16.3991,16.4486,16.4813,16.5784,
2020/10/09 20:00,16.4803,16.4867,16.4034,16.4241,16.5031,16.5790,
2020/10/09 16:00,16.5291,16.5291,16.4478,16.4791,16.5365,16.5790,
2020/10/09 12:00,16.5265,16.5568,16.5008,16.5299,16.5576,16.5774,
2020/10/09 08:00,16.5605,16.5783,16.5225,16.5248,16.5695,16.5729,
2020/10/09 04:00,16.5931,16.6023,16.5553,16.5578,16.5759,16.5705,
2020/10/09 00:00,16.5846,16.6283,16.5481,16.5909,16.5907,16.5694,
2020/10/08 20:00,16.5902,16.6723,16.5570,16.5846,16.5959,16.5665,
2020/10/08 16:00,16.5573,16.6537,16.5513,16.5896,16.6053,16.5613,
2020/10/08 12:00,16.6297,16.6356,16.5521,16.5567,16.6173,16.5624,
2020/10/08 08:00,16.6168,16.6702,16.6157,16.6319,16.6386,16.5681,
2020/10/08 04:00,16.6334,16.6392,16.6112,16.6168,16.6366,16.5681,
2020/10/08 00:00,16.6502,16.7089,16.6119,16.6314,16.6452,16.5668,
2020/10/07 20:00,16.6619,16.6798,16.5798,16.6497,16.6612,16.5654,
2020/10/07 16:00,16.6238,16.7083,16.5354,16.6631,16.6674,16.5653,
2020/10/07 12:00,16.6602,16.6717,16.6078,16.6218,16.6347,16.5639,
2020/10/07 08:00,16.7148,16.7258,16.6510,16.6602,16.6237,16.5620,
2020/10/07 04:00,16.6819,16.7346,16.6433,16.7112,16.6100,16.5632,
2020/10/07 00:00,16.4991,16.7041,16.4984,16.6809,16.5731,16.5619,
2020/10/06 20:00,16.5680,16.5879,16.4566,16.4992,16.5432,16.5626,
2020/10/06 16:00,16.5925,16.6813,16.5425,16.5670,16.5613,16.5702,
2020/10/06 12:00,16.5282,16.6111,16.5107,16.5918,16.5408,16.5811,
2020/10/06 08:00,16.5242,16.5516,16.5140,16.5268,16.5075,16.5961,
2020/10/06 04:00,16.5909,16.5935,16.5225,16.5310,16.4899,16.6119,
2020/10/06 00:00,16.4648,16.6089,16.4617,16.5900,16.4670,16.6275,
2020/10/05 20:00,16.4266,16.5321,16.3854,16.4643,16.4422,16.6402,
2020/10/05 16:00,16.4401,16.4639,16.3575,16.4255,16.4552,16.6603,
2020/10/05 12:00,16.4146,16.4838,16.4124,16.4388,16.4739,16.6848,
2020/10/05 08:00,16.4705,16.4789,16.4027,16.4163,16.4771,16.7103,
2020/10/05 04:00,16.5187,16.5227,16.4446,16.4661,16.5171,16.7343,
2020/10/03 04:00,16.5216,16.5364,16.5165,16.5294,16.5638,16.7575,
2020/10/03 00:00,16.4554,16.5374,16.4335,16.5189,16.5842,16.7788,
2020/10/02 20:00,16.6155,16.6387,16.4454,16.4549,16.5972,16.8038,
2020/10/02 16:00,16.7009,16.7582,16.5956,16.6160,16.6256,16.8282,
2020/10/02 12:00,16.6306,16.7934,16.6032,16.7000,16.6318,16.8456,
2020/10/02 08:00,16.5813,16.6377,16.5747,16.6312,16.6172,16.8606,
2020/10/02 04:00,16.5987,16.6027,16.5802,16.5839,16.6061,16.8795,
2020/10/02 00:00,16.6462,16.6894,16.5874,16.5968,16.6275,16.9014,
2020/10/01 20:00,16.6272,16.7192,16.5653,16.6471,16.6439,16.9231,
2020/10/01 16:00,16.5735,16.6613,16.5517,16.6272,16.6539,16.9435,
2020/10/01 12:00,16.6910,16.6989,16.5481,16.5755,16.6663,16.9639,
2020/10/01 08:00,16.6822,16.7476,16.6787,16.6910,16.7192,16.9758,
2020/10/01 04:00,16.6981,16.7632,16.6787,16.6787,16.7743,16.9849,
2020/10/01 00:00,16.6902,16.7552,16.6361,16.6972,16.8230,16.9943,
2020/09/30 20:00,16.8389,16.8693,16.6548,16.6893,16.8677,17.0034,
2020/09/30 16:00,16.9660,16.9901,16.7858,16.8399,16.9113,17.0172,
2020/09/30 12:00,16.9327,17.0225,16.9327,16.9666,16.9367,17.0221,
2020/09/30 08:00,16.9196,16.9323,16.9025,16.9222,16.9511,17.0300,
2020/09/30 04:00,16.9079,16.9498,16.8985,16.9205,16.9817,17.0381,
2020/09/30 00:00,16.9653,16.9790,16.8752,16.9074,17.0012,17.0457,
2020/09/29 20:00,17.0375,17.0384,16.9104,16.9669,17.0289,17.0530,
2020/09/29 16:00,17.0772,17.2035,17.0383,17.0385,17.0479,17.0560,
2020/09/29 12:00,17.0210,17.1228,17.0076,17.0753,17.0691,17.0513,
2020/09/29 08:00,17.0455,17.0493,16.9849,17.0181,17.0669,17.0415,
2020/09/29 04:00,17.0628,17.0763,17.0212,17.0455,17.0735,17.0336,
2020/09/29 00:00,17.1457,17.2024,17.0431,17.0623,17.0793,17.0233,
2020/09/28 20:00,17.0651,17.1625,16.9883,17.1442,17.0873,17.0127,
2020/09/28 16:00,17.0472,17.2135,17.0413,17.0646,17.0847,16.9962,
2020/09/28 12:00,17.0737,17.0820,16.9755,17.0509,17.1000,16.9779,
2020/09/28 08:00,17.1020,17.1235,17.0747,17.0747,17.1212,16.9699,
2020/09/28 04:00,17.0867,17.1182,17.0759,17.1020,17.1336,16.9590,
2020/09/26 04:00,17.1397,17.1611,17.1027,17.1315,17.0879,16.9462,
2020/09/26 00:00,17.1563,17.2038,17.0981,17.1409,17.0452,16.9337,
2020/09/25 20:00,17.1368,17.2603,17.0486,17.1569,16.9997,16.9228,
2020/09/25 16:00,16.8746,17.1479,16.8026,17.1366,16.9534,16.9030,
2020/09/25 12:00,16.9172,16.9608,16.8723,16.8737,16.9329,16.8692,
2020/09/25 08:00,16.9135,16.9363,16.8935,16.9180,16.9504,16.8449,
2020/09/25 04:00,16.9255,16.9704,16.8875,16.9135,17.0000,16.8197,
2020/09/25 00:00,17.0334,17.0535,16.8591,16.9253,17.0422,16.7948,
2020/09/24 20:00,16.9621,17.1488,16.9409,17.0338,17.0794,16.7690,
2020/09/24 16:00,17.1645,17.1702,16.9379,16.9616,17.0906,16.7381,
2020/09/24 12:00,17.1258,17.2172,17.1082,17.1656,17.1065,16.7038,
2020/09/24 08:00,17.0995,17.1302,17.0778,17.1248,17.0575,16.6618,
2020/09/24 04:00,17.0893,17.1187,17.0195,17.1110,16.9988,16.6239,
2020/09/24 00:00,17.0407,17.0958,16.9699,17.0899,16.9407,16.5857,
2020/09/23 20:00,16.9212,17.0974,16.9192,17.0411,16.8801,16.5504,
2020/09/23 16:00,16.8303,16.9967,16.8246,16.9209,16.8313,16.5181,
2020/09/23 12:00,16.8206,16.8906,16.7704,16.8311,16.7937,16.4956,
2020/09/23 08:00,16.7890,16.8372,16.7527,16.8205,16.7487,16.4772,
2020/09/23 04:00,16.7971,16.8090,16.7637,16.7870,16.7546,16.4593,
2020/09/23 00:00,16.7335,16.8446,16.7021,16.7970,16.7577,16.4377,
2020/09/22 20:00,16.6058,16.7345,16.5536,16.7330,16.7547,16.4189,
2020/09/22 16:00,16.8510,16.9636,16.6027,16.6061,16.7722,16.4007,
2020/09/22 12:00,16.8025,16.9275,16.7675,16.8500,16.8247,16.3869,
2020/09/22 08:00,16.7755,16.8175,16.7670,16.8025,16.7871,16.3697,
2020/09/22 04:00,16.8191,16.8277,16.7620,16.7817,16.6845,16.3543,
2020/09/22 00:00,16.8690,16.9062,16.7911,16.8206,16.5816,16.3391,
2020/09/21 20:00,16.6610,16.9369,16.6435,16.8687,16.4751,16.3223,
2020/09/21 16:00,16.2877,16.6621,16.2764,16.6621,16.3594,16.3046,
2020/09/21 12:00,16.2689,16.3333,16.2601,16.2894,16.2830,16.2958,
2020/09/21 08:00,16.2899,16.2925,16.2391,16.2673,16.2777,16.3072,
2020/09/21 04:00,16.2749,16.2892,16.2739,16.2880,16.2450,16.3215,
2020/09/19 04:00,16.2806,16.2905,16.2750,16.2901,16.2104,16.3357,
2020/09/19 00:00,16.2582,16.3096,16.2093,16.2801,16.1877,16.3502,
2020/09/18 20:00,16.1035,16.2643,16.0800,16.2629,16.1630,16.3663,
2020/09/18 16:00,16.1160,16.1920,16.1030,16.1038,16.1522,16.3827,
2020/09/18 12:00,16.1746,16.2037,16.1081,16.1153,16.1777,16.4059,
2020/09/18 08:00,16.1567,16.1983,16.1509,16.1763,16.2265,16.4297,
2020/09/18 04:00,16.2091,16.2289,16.1450,16.1567,16.2658,16.4507,
2020/09/18 00:00,16.2314,16.2571,16.1521,16.2087,16.3086,16.4740,
2020/09/17 20:00,16.3586,16.3968,16.1787,16.2316,16.3165,16.4954,
2020/09/17 16:00,16.3701,16.3904,16.3222,16.3592,16.3356,16.5154,
2020/09/17 12:00,16.3719,16.4459,16.3561,16.3726,16.3191,16.5300,
2020/09/17 08:00,16.2535,16.3732,16.2535,16.3708,16.2971,16.5476,
2020/09/17 04:00,16.3264,16.3565,16.2195,16.2485,16.3067,16.5672,
2020/09/17 00:00,16.2774,16.3543,16.2032,16.3270,16.3405,16.5920,
2020/09/16 20:00,16.2605,16.3617,16.2605,16.2765,16.3558,16.6141,
2020/09/16 16:00,16.4188,16.4348,16.2550,16.2626,16.3802,16.6366,
2020/09/16 12:00,16.4161,16.4624,16.3965,16.4190,16.4132,16.6553,
2020/09/16 08:00,16.4025,16.4654,16.3995,16.4172,16.4176,16.6634,
2020/09/16 04:00,16.3990,16.4606,16.3887,16.4036,16.4493,16.6730,
2020/09/16 00:00,16.4271,16.4534,16.3980,16.3986,16.4932,16.6809,
2020/09/15 20:00,16.4412,16.5126,16.4168,16.4274,16.5425,16.6900,
2020/09/15 16:00,16.5764,16.6379,16.4378,16.4414,16.5874,16.6976,
2020/09/15 12:00,16.6218,16.6320,16.5544,16.5755,16.6355,16.7114,
2020/09/15 08:00,16.6413,16.6855,16.6166,16.6231,16.6552,16.7269,
