ZAR/JPY,,,,,単純移動平均,,MACD,,,
日付,始値,高値,安値,終値,期間A[5],期間C[25],MACD[12-26],シグナル[9],乖離,
2020/10/16 00:00,6.312,6.322,6.311,6.320,6.326,6.377,-0.0177,-0.0087,-0.0090,
2020/10/15 20:00,6.304,6.327,6.300,6.312,6.337,6.382,-0.0161,-0.0064,-0.0097,
2020/10/15 16:00,6.336,6.346,6.302,6.304,6.346,6.387,-0.0130,-0.0040,-0.0090,
2020/10/15 12:00,6.356,6.364,6.333,6.337,6.361,6.391,-0.0081,-0.0018,-0.0063,
2020/10/15 08:00,6.374,6.375,6.354,6.356,6.369,6.394,-0.0050,-0.0002,-0.0048,
2020/10/15 04:00,6.361,6.375,6.357,6.374,6.377,6.396,-0.0029,0.0010,-0.0039,
2020/10/15 00:00,6.377,6.381,6.352,6.361,6.384,6.397,-0.0021,0.0020,-0.0041,
2020/10/14 20:00,6.376,6.398,6.368,6.377,6.393,6.399,0.0003,0.0030,-0.0026,
2020/10/14 16:00,6.394,6.400,6.362,6.376,6.398,6.399,0.0018,0.0036,-0.0018,
2020/10/14 12:00,6.408,6.412,6.389,6.396,6.401,6.400,0.0037,0.0041,-0.0004,
2020/10/14 08:00,6.406,6.415,6.396,6.408,6.403,6.400,0.0041,0.0042,-0.0001,
2020/10/14 04:00,6.403,6.426,6.401,6.407,6.396,6.399,0.0033,0.0042,-0.0009,
2020/10/14 00:00,6.391,6.421,6.378,6.403,6.387,6.398,0.0024,0.0044,-0.0020,
2020/10/13 20:00,6.407,6.422,6.379,6.392,6.384,6.397,0.0015,0.0049,-0.0034,
2020/10/13 16:00,6.371,6.410,6.362,6.406,6.382,6.396,0.0016,0.0058,-0.0042,
2020/10/13 12:00,6.362,6.386,6.361,6.371,6.379,6.394,0.0001,0.0069,-0.0067,
2020/10/13 08:00,6.387,6.388,6.357,6.362,6.382,6.394,0.0019,0.0085,-0.0066,
2020/10/13 04:00,6.382,6.408,6.381,6.387,6.389,6.393,0.0050,0.0102,-0.0052,
2020/10/13 00:00,6.395,6.398,6.379,6.382,6.392,6.391,0.0064,0.0115,-0.0051,
2020/10/12 20:00,6.383,6.399,6.373,6.394,6.397,6.389,0.0085,0.0128,-0.0042,
2020/10/12 16:00,6.398,6.415,6.366,6.383,6.402,6.389,0.0099,0.0138,-0.0039,
2020/10/12 12:00,6.403,6.415,6.394,6.398,6.411,6.389,0.0127,0.0148,-0.0021,
2020/10/12 08:00,6.408,6.410,6.394,6.402,6.418,6.388,0.0145,0.0153,-0.0008,
2020/10/12 04:00,6.447,6.449,6.406,6.408,6.423,6.388,0.0162,0.0155,0.0007,
2020/10/10 04:00,6.425,6.433,6.416,6.420,6.423,6.387,0.0176,0.0153,0.0022,
2020/10/10 00:00,6.435,6.446,6.417,6.425,6.420,6.385,0.0178,0.0148,0.0030,
2020/10/09 20:00,6.425,6.457,6.419,6.435,6.415,6.385,0.0173,0.0140,0.0033,
2020/10/09 16:00,6.411,6.443,6.411,6.425,6.407,6.385,0.0154,0.0132,0.0022,
2020/10/09 12:00,6.406,6.418,6.397,6.411,6.401,6.385,0.0138,0.0126,0.0012,
2020/10/09 08:00,6.397,6.407,6.390,6.406,6.397,6.386,0.0129,0.0123,0.0006,
2020/10/09 04:00,6.393,6.408,6.388,6.397,6.397,6.386,0.0122,0.0122,0.0000,
2020/10/09 00:00,6.394,6.407,6.375,6.394,6.392,6.385,0.0120,0.0122,-0.0002,
2020/10/08 20:00,6.393,6.403,6.357,6.395,6.389,6.385,0.0118,0.0122,-0.0004,
2020/10/08 16:00,6.404,6.405,6.365,6.393,6.386,6.385,0.0114,0.0123,-0.0010,
2020/10/08 12:00,6.374,6.406,6.371,6.404,6.381,6.383,0.0108,0.0126,-0.0018,
2020/10/08 08:00,6.379,6.384,6.363,6.374,6.374,6.378,0.0088,0.0130,-0.0042,
2020/10/08 04:00,6.379,6.391,6.375,6.379,6.371,6.377,0.0092,0.0141,-0.0049,
2020/10/08 00:00,6.370,6.387,6.344,6.379,6.364,6.377,0.0091,0.0153,-0.0063,
2020/10/07 20:00,6.367,6.393,6.353,6.370,6.353,6.376,0.0087,0.0169,-0.0081,
2020/10/07 16:00,6.362,6.406,6.350,6.367,6.345,6.375,0.0091,0.0189,-0.0098,
2020/10/07 12:00,6.343,6.369,6.343,6.362,6.353,6.375,0.0098,0.0214,-0.0116,
2020/10/07 08:00,6.321,6.347,6.317,6.343,6.356,6.375,0.0110,0.0243,-0.0133,
2020/10/07 04:00,6.333,6.349,6.314,6.321,6.362,6.374,0.0143,0.0276,-0.0133,
2020/10/07 00:00,6.404,6.404,6.321,6.333,6.376,6.374,0.0206,0.0309,-0.0103,
2020/10/06 20:00,6.378,6.424,6.371,6.404,6.389,6.373,0.0271,0.0335,-0.0064,
2020/10/06 16:00,6.371,6.386,6.331,6.378,6.384,6.370,0.0277,0.0351,-0.0073,
